Nanyang Technological University (NTU),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,Poly,3.94,,,NTU,Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,NTU,Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,NTU,Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,74.25,,NTU,Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,74.25,,NTU,Accountancy,Accepted by direct entry/discovery day
Singaporean,Poly,3.83,,,NTU,Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,71.25,,NTU,Accountancy,Accepted by direct entry/discovery day
Singaporean,Poly,3.89,,,NTU,Accountancy & Business,Accepted by direct entry/discovery day
Singaporean,JC,,83.25,,NTU,Accountancy And Business,Accepted by direct entry/discovery day
Singaporean,JC,,81,,NTU,Accountancy And Business,Accepted by direct entry/discovery day
Singaporean,JC,,81,,NTU,Accountancy And Business With A Second Major In Entrepreneurship,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NTU,Accountancy With A Minor In Data Analytics,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NTU,Accountancy With A Minor In Digitalisation And Data Analytics,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NTU,Accountancy With A Minor In Digitalisation And Data Analytics,Accepted by direct entry/discovery day
Singaporean,Poly,3.85,,,NTU,Accountancy With A Minor In Digitalisation And Data Analytics,Accepted by ABA
PR,JC,,83.75,,NTU,Accountnacy And Business,Accepted by direct entry/discovery day
Singaporean,JC,,85.5,,NTU,Bachelor Of Science In Biological Sciences With Second Major In Biomedical Structural Biology,Accepted by direct entry/discovery day
Singaporean,Poly,3.76,,,NTU,Bioengineering,Accepted by direct entry/discovery day
Singaporean,JC,,70,,NTU,Bioengineering,Accepted by direct entry/discovery day
Singaporean,JC,,87.5 + H3 Merit,,NTU,Bioengineering With Second Major In Entrepreneurship,Accepted by direct entry/discovery day
Singaporean,JC,,77.5,,NTU,Biological Science,Accepted by direct entry/discovery day
Singaporean,Poly,3.88,,,NTU,Biological Science,Accepted by direct entry/discovery day
Singaporean,JC,,81 RP w MT,,NTU,Biological Science With Second Major In Data Analytics,Accepted by direct entry/discovery day
Singaporean,JC,,88.875,,NTU,Biological Sciences,Accepted by ABA
Singaporean,Poly,3.79,,,NTU,Biological Sciences,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,Biological Sciences,Accepted by direct entry/discovery day
Singaporean,IB,,,39,NTU,Biological Sciences,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,NTU,Biological Sciences With A Second Major In Biomedical Structural Biology,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NTU,Biological Sciences With A Second Major In Biomedical Structural Biology,Accepted by direct entry/discovery day
International,JC,,88.75,,NTU,Biological Sciences With A Second Major In Medicinal Chemistry And Pharmacology,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,Biological Sciences With A Second Major In Medicinal Chemistry And Pharmacology,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NTU,Biological Sciences With A Second Major In Medicinal Chemistry And Pharmacology,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,Biological Sciences With A Second Major In Medicinal Chemistry And Pharmacology,Accepted by direct entry/discovery day
Singaporean,IB,,,40,NTU,Biological Sciences With A Second Major In Medicinal Chemistry And Pharmacology,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NTU,Biological Sciences With A Second Major In Sustainability,Accepted by direct entry/discovery day
PR,JC,,86.625,,NTU,Biological Sciences With Second Major In Biomedical Structural Biology,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NTU,Biological Sciences With Second Major In Medicinal Chemistry And Pharmacology,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NTU,Biological Sciences With Second Major In Medicinal Chemistry And Pharmacology,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NTU,Biological Sciences With Second Major In Medicinal Chemistry And Pharmacology,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NTU,Biological Sciences With Second Major In Medicinal Chemistry And Pharmacology,Accepted by direct entry/discovery day
Singaporean,JC,,87.75,,NTU,Biological Sciences With Second Major In Medicinal Chemistry And Pharmacology,Accepted by direct entry/discovery day
Singaporean,JC,,90 + H3 pass,,NTU,Biological Sciences With Second Major In Medicinal Chemistry And Pharmacology,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NTU,Biological Sciences With Second Major In Medicinal Chemistry And Pharmacology,Accepted by direct entry/discovery day
Singaporean,JC,,83.25,,NTU,Biomedical Science And Biobusiness,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,NTU,Biomedical Science And Biobusiness,Accepted by direct entry/discovery day
Singaporean,JC,,88.75 + H3 merit,,NTU,Biomedical Sciences And Biobusiness,Accepted by direct entry/discovery day
International,JC,,85.5,,NTU,Biomedicine With Second Major In Biobusiness,Accepted by direct entry/discovery day
Singaporean,Poly,3.9,,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,Poly,3.9,,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,77.625,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,Poly,3.76,,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,Business,Accepted by direct entry/discovery day
PR,JC,,82.5,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,Poly,3.79,,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,Poly,3.77,,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,88.875,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,73.75,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,Poly,3.708,,,NTU,Business,Accepted by ABA
Singaporean,Poly,3.78,,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,75.375,,NTU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,72.5,,NTU,Business,Accepted by direct entry/discovery day
PR,Poly,3.69,,,NTU,Business,Accepted by ABA
Singaporean,JC,,72.5,,NTU,Business,Accepted by direct entry/discovery day
PR,JC,,77.5,,NTU,Business,Accepted by direct entry/discovery day
International,JC,,72.5,,NTU,Business,Rejected
Singaporean,Poly,3.76,,,NTU,Business (Single Degree),Accepted by direct entry/discovery day
Singaporean,IB,,,42,NTU,Business And Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,83.25,,NTU,Business And Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NTU,Business And Computing,Accepted by direct entry/discovery day
Singaporean,JC,,75.3,,NTU,Business With Minor In International Trading,Accepted by direct entry/discovery day
Singaporean,Poly,3.5,,,NTU,Business With Second Major In Entrepreneurship,Accepted by direct entry/discovery day
PR,JC,,85,,NTU,Business With Second Major In Entrepreneurship,Accepted by direct entry/discovery day
Singaporean,JC,,78.75 w MTL,,NTU,Business With Second Major In Entrepreneurship,Accepted by direct entry/discovery day
Singaporean,JC,,75.375,,NTU,Business With Second Major In Entrepreneurship,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NTU,Business With Second Major In Entrepreneurship,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,Business With Second Major In Entrepreneurship,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,NTU,Business With Second Major In Sustainability,Accepted by direct entry/discovery day
Singaporean,Poly,3.79,,,NTU,Business With Second Major In Sustainability,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,NTU,Ceg,Accepted by direct entry/discovery day
Singaporean,Poly,3.66,,,NTU,Chemical & Biomolecular Engineering,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NTU,Chemical & Biomolecular Engineering,Accepted by direct entry/discovery day
PR,Poly,3.58,,,NTU,Chemistry & Biological Chemistry,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NTU,Chemistry And Biological Chemistry,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,Chemistry And Biological Chemistry,Accepted by ABA
Singaporean,JC,,75,,NTU,Chemistry And Biological Chemistry,Accepted by direct entry/discovery day
