National University of Singapore (NUS),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,Poly,3.94,,,NUS,Accountancy,Accepted by direct entry/discovery day
Singaporean,Poly,3,,,NUS,Applied Ai And Analytics,Rejected
Singaporean,Poly,3.69,,,NUS,Architecture,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,NUS,Architecture,Accepted by ABA
Singaporean,JC,,78.75,,NUS,Bba,Rejected
Singaporean,Poly,3.87,,,NUS,Bba,Accepted by direct entry/discovery day
Singaporean,Poly,3.92,,,NUS,Business Administration,Accepted by direct entry/discovery day
Singaporean,Poly,3.89,,,NUS,Business Administration,Accepted by direct entry/discovery day
Singaporean,Poly,3.87,,,NUS,Business Administration,Accepted by direct entry/discovery day
Singaporean,Poly,3.88,,,NUS,Business Administration,Accepted by direct entry/discovery day
Singaporean,Poly,3.9,,,NUS,Business Administration,Accepted by direct entry/discovery day
Singaporean,Poly,3.68,,,NUS,Business Administration,Accepted by ABA
Singaporean,JC,,83.75,,NUS,Business Administration,Rejected
Singaporean,Poly,3.78,,,NUS,Business Administration,Rejected
Singaporean,JC,,83.75RP,,NUS,Business Administration,Accepted by ABA
Singaporean,JC,,88.875,,NUS,Business Administration,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NUS,Business Administration (Accountancy),Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NUS,Business Administration (Accountancy),Accepted by direct entry/discovery day
Singaporean,JC,,87.75,,NUS,Business Administration (Accountancy) With Msc (Management) (Cdp),Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NUS,Business Administration And Computer Science,Rejected
Singaporean,IB,,,42,NUS,Business Administration With Psychology Double Major,Accepted by direct entry/discovery day
Singaporean,JC,,88.75rp,,NUS,Business Administration With Second Major In Business Analytics,Accepted by direct entry/discovery day
Singaporean,JC,,87.5 (First choice) + H3 Merit,,NUS,Business Administration With Second Major In Pyschology,Accepted by direct entry/discovery day
Singaporean,IB,,,43,NUS,Business Analytics,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NUS,Business Analytics,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,Business Analytics,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NUS,Business Analytics,Accepted by direct entry/discovery day
PR,JC,,87.5,,NUS,Business Analytics,Accepted by direct entry/discovery day
PR,JC,,85,,NUS,Business Analytics,Accepted by ABA
Singaporean,JC,,87.5,,NUS,Business Analytics,Accepted by direct entry/discovery day
Singaporean,Poly,3.83,,,NUS,Business Analytics,Rejected
Singaporean,JC,,87.5,,NUS,Business Analytics,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NUS,Business Analytics,Rejected
Singaporean,JC,,88.75,,NUS,Business Analytics + Economics (Double Major),Accepted by direct entry/discovery day
PR,JC,,90,,NUS,Business Analytics With Economics (Double Major),Accepted by direct entry/discovery day
Singaporean,JC,,88.875 + H3 distinction,,NUS,Business Analytics With Minor In Statistics,Accepted by direct entry/discovery day
PR,JC,,87.5,,NUS,Business Analytics With Second Major In Economics,Rejected
