National University of Singapore (NUS),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,JC,,80,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by ABA
Singaporean,JC,,88.75,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,IB,,,41,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,84.5,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,Poly,3.89,,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
PR,JC,,86.25,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Rejected
Singaporean,JC,,83.75,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,71.25,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Rejected
Singaporean,JC,,80,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,83.25,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,78.75 + H3 Pass,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by ABA
Singaporean,JC,,77.5,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by ABA
Singaporean,JC,,73.75,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by ABA
International,IB,,,43,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Rejected
Singaporean,JC,,76.25,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Rejected
Singaporean,JC,,77.625,,NUS,COLLEGE OF HUMANITIES AND SCIENCES,Accepted by ABA
Singaporean,JC,,87.5,,NUS,COLLEGE OF HUMANITIES AND SCIENCES (CHEMISTRY),Accepted by direct entry/discovery day
Singaporean,JC,,86.625,,NUS,COLLEGE OF HUMANITIES AND SCIENCES (CHEMISTRY),Accepted by direct entry/discovery day
Singaporean,JC,,88.75 + H3 Merit,,NUS,COLLEGE OF HUMANITIES AND SCIENCES (CHEMISTRY),Accepted by direct entry/discovery day
Singaporean,JC,,80,,NUS,COLLEGE OF HUMANITIES AND SCIENCES (DATA SCIENCE AND ANALYTICS),Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NUS,COLLEGE OF HUMANITIES AND SCIENCES (DATA SCIENCE AND ANALYTICS),Accepted by direct entry/discovery day
PR,JC,,85,,NUS,COLLEGE OF HUMANITIES AND SCIENCES (DATA SCIENCE AND ANALYTICS),Accepted by direct entry/discovery day
Singaporean,JC,,80,,NUS,COLLEGE OF HUMANITIES AND SCIENCES (ECONOMICS),Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NUS,COLLEGE OF HUMANITIES AND SCIENCES (LIFE SCIENCE),Accepted by ABA
Singaporean,Poly,3.98,,,NUS,COLLEGE OF HUMANITIES AND SCIENCES (LIFE SCIENCE),Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,NUS,COLLEGE OF HUMANITIES AND SCIENCES (POLITICAL SCIENCE),Accepted by direct entry/discovery day
Singaporean,JC,,85,,NUS,COLLEGE OF SCIENCE AND HUMANITIES,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NUS,COMMUNICATIONS AND NEW MEDIA WITH MANAGEMENT,Accepted by direct entry/discovery day
Singaporean,JC,,84.375,,NUS,COMPUTER ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,82.125,,NUS,COMPUTER ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NUS,COMPUTER ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,NUS,COMPUTER ENGINEERING,Accepted by direct entry/discovery day
PR,Poly,3.9,,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,90 RP + H3 Distinction,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,Poly,4,,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,90RP + H3 Merit,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,86.625,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,Poly,3.88,,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
International,IB,,,43,NUS,COMPUTER SCIENCE,Rejected
Singaporean,JC,,87.5,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
International,IB,,,43,NUS,COMPUTER SCIENCE,Rejected
Singaporean,IB,,,42,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
PR,JC,,87.5,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,73.5,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
