Singapore Management University (SMU),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,JC,,78.75,,SMU,ACCOUNTANCY,Accepted by direct entry/discovery day
International,IB,,,43,SMU,ACCOUNTANCY,Accepted by direct entry/discovery day
Singaporean,Poly,3.869,,,SMU,ACCOUNTANCY,Accepted by direct entry/discovery day
PR,Poly,3.8855,,,SMU,ACCOUNTANCY,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,SMU,ACCOUNTANCY,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,SMU,ACCOUNTANCY,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,SMU,ACCOUNTANCY,Accepted by direct entry/discovery day
Singaporean,JC,,72,,SMU,ACCOUNTANCY,Accepted by ABA
Singaporean,JC,,71.25,,SMU,ACCOUNTANCY,Accepted by ABA
International,JC,,73.125,,SMU,ACCOUNTANCY,Accepted by ABA
Singaporean,JC,,85,,SMU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,SMU,BUSINESS,Accepted by direct entry/discovery day
PR,JC,,76.25,,SMU,BUSINESS,Accepted by ABA
Singaporean,Poly,3.87,,,SMU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,82.125,,SMU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,80,,SMU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,80,,SMU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,85,,SMU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,81.75,,SMU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,80,,SMU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,SMU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,Poly,3.68,,,SMU,BUSINESS,Accepted by ABA
Singaporean,Poly,3.93,,,SMU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,81,,SMU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,77.5,,SMU,BUSINESS,Accepted by ABA
Singaporean,JC,,76.5,,SMU,BUSINESS,Accepted by ABA
Singaporean,JC,,80,,SMU,BUSINESS,Accepted by direct entry/discovery day
PR,JC,,88.75,,SMU,BUSINESS & ACCOUNTANCY DOUBLE DEGREE,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,SMU,BUSINESS & SOCIAL SCIENCES (PPS) (DDP),Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,SMU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,86.625,,SMU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,85,,SMU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,Poly,3.8,,,SMU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,85,,SMU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,SMU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,82.125,,SMU,COMPUTER SCIENCE,Shortlisted for interview/written test but rejected
International,JC,,83.75,,SMU,COMPUTER SCIENCE,Accepted by ABA
Singaporean,JC,,87.5,,SMU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,SMU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,88.825,,SMU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,SMU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,85,,SMU,COMPUTER SCIENCE AND BUSINESS (DDP),Accepted by direct entry/discovery day
International,JC,,82.5,,SMU,COMPUTING & LAW,Accepted by direct entry/discovery day
PR,JC,,86.6,,SMU,COMPUTING & LAW,Accepted by direct entry/discovery day
Singaporean,JC,,79.875,,SMU,COMPUTING & LAW,Accepted by ABA
Singaporean,JC,,81.25,,SMU,COMPUTING AND LAW,Accepted by ABA
Singaporean,JC,,87.5,,SMU,COMPUTING AND LAW,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,SMU,ECONOMICS,Accepted by direct entry/discovery day
PR,IB,,,45,SMU,ECONOMICS,Accepted by direct entry/discovery day
PR,JC,,81.25 and H3 Dist,,SMU,ECONOMICS,Accepted by direct entry/discovery day
Singaporean,JC,,80,,SMU,ECONOMICS,Accepted by direct entry/discovery day
Singaporean,JC,,73.75,,SMU,ECONOMICS,Accepted by ABA
Singaporean,JC,,82.5,,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
PR,JC,,75,,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
Singaporean,JC,,75,,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
Singaporean,JC,,76.5,,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
International,Poly,3.8197,,,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
Singaporean,JC,,73.75,,SMU,INFORMATION SYSTEMS,Accepted by ABA
Singaporean,JC,,78.75,,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
Singaporean,JC,,77.5,,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
Singaporean,JC,,82.125,,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
Singaporean,IB,,,45,SMU,INFORMATION SYSTEMS,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,SMU,INFORMATION SYSTEMS WITH A SECOND MAJOR,Accepted by direct entry/discovery day
International,Poly,3.7,,,SMU,LAW,Accepted by direct entry/discovery day
Singaporean,JC,,85,,SMU,LAW,Accepted by direct entry/discovery day
Singaporean,JC,,85,,SMU,LAW,Accepted by direct entry/discovery day
