Singapore Management University (SMU),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,JC,,81.25,,SMU,Computer Science,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,SMU,Computer Science,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,SMU,Computer Science,Accepted by direct entry/discovery day
Singaporean,JC,,83.25,,SMU,Computer Science,Accepted by direct entry/discovery day
PR,JC,,87.5,,SMU,Computer Science,Accepted by direct entry/discovery day
Singaporean,Poly,3.85,,,SMU,Computer Science,Accepted by direct entry/discovery day
Singaporean,JC,,88.875,,SMU,Computer Science,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,SMU,Computer Science,Accepted by direct entry/discovery day
Singaporean,Poly,3.93,,,SMU,Computer Science,Accepted by ABA
PR,IB,,,37,SMU,Computer Science,Accepted by direct entry/discovery day
PR,JC,,87.5,,SMU,Computer Science,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,SMU,Computer Science And Computing And Law (Ddp),Accepted by direct entry/discovery day
PR,JC,,83.25,,SMU,Computing & Law,Accepted by direct entry/discovery day
Singaporean,JC,,87.75,,SMU,Computing & Law,Accepted by direct entry/discovery day
Singaporean,JC,,88.875,,SMU,Computing & Law Ddp With Business,Accepted by direct entry/discovery day
Singaporean,JC,,85,,SMU,Computing And Law,Accepted by direct entry/discovery day
Singaporean,JC,,80,,SMU,Computing And Law,Accepted by ABA
Singaporean,JC,,82.5,,SMU,Computing And Law,Accepted by direct entry/discovery day
PR,JC,,87.5,,SMU,Computing&Law And Business (Ddp),Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,SMU,Double Degree In Business And Economics,Accepted by direct entry/discovery day
PR,JC,,85,,SMU,Double Degree In Business And Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,SMU,Economics,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,SMU,Economics,Accepted by direct entry/discovery day
Singaporean,JC,,76.5,,SMU,Economics,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,SMU,Economics,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,SMU,Economics,Accepted by direct entry/discovery day
Singaporean,JC,,85,,SMU,Economics,Accepted by direct entry/discovery day
PR,JC,,90,,SMU,Economics,Accepted by direct entry/discovery day
Singaporean,JC,,77.5,,SMU,Economics,Accepted by direct entry/discovery day
