Nanyang Technological University (NTU),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
PR,IB,,,43,NTU,BUSINESS AND COMPUTING DOUBLE DEGREE,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NTU,BUSINESS AND COMPUTING DOUBLE DEGREE,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NTU,BUSINESS AND COMPUTING DOUBLE DEGREE,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NTU,BUSINESS WITH A MINOR IN STRATEGIC COMMUNICATION,Accepted by direct entry/discovery day
Singaporean,JC,,75.375,,NTU,BUSINESS WITH MINOR IN INTERNATIONAL TRADING,Accepted by direct entry/discovery day
Singaporean,JC,,81.75,,NTU,BUSINESS WITH SECOND MAJOR IN ENTREPENEURSHIP,Accepted by direct entry/discovery day
PR,JC,,73.75,,NTU,CHEMICAL AND BIOMOLECULAR ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,CHEMICAL AND BIOMOLECULAR ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,73.75,,NTU,CHEMICAL AND BIOMOLECULAR ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,72,,NTU,CHEMICAL AND BIOMOLECULAR ENGINEERING,Accepted by direct entry/discovery day
Singaporean,IB,,,41,NTU,CHEMICAL AND BIOMOLECULAR ENGINEERING SECOND MAJOR IN BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,77.6,,NTU,CHEMISTRY AND BIOLOGICAL CHEMISTRY,Accepted by direct entry/discovery day
Singaporean,Poly,3.73,,,NTU,CHEMISTRY AND BIOLOGICAL CHEMISTRY,Accepted by direct entry/discovery day
Singaporean,JC,,70,,NTU,CHEMISTRY AND BIOLOGICAL CHEMISTRY,Accepted by direct entry/discovery day
PR,JC,,73.75,,NTU,CHEMISTRY AND BIOLOGICAL CHEMISTRY,Accepted by direct entry/discovery day
Singaporean,JC,,71.25,,NTU,CHEMISTRY AND BIOLOGICAL CHEMISTRY,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NTU,CHEMISTRY AND BIOLOGICAL CHEMISTRY,Accepted by direct entry/discovery day
Singaporean,JC,,88.75 + H3 Merit,,NTU,CHEMISTRY AND BIOLOGICAL CHEMISTRY,Accepted by direct entry/discovery day
Singaporean,JC,,77.625,,NTU,CHEMISTRY AND BIOLOGICAL CHEMISTRY,Accepted by direct entry/discovery day
Singaporean,JC,,74.5,,NTU,CHEMISTRY AND BIOLOGICAL CHEMISTRY,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NTU,CHEMISTRY AND BIOLOGICAL CHEMISTRY WITH A SECOND MAJOR IN FOOD SCIENCE AND TECHNOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,72.5,,NTU,CHINESE,Accepted by direct entry/discovery day
International,JC,,77.5,,NTU,CHINESE (WITH HONS),Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,NTU,COMMUNICATION STUDIES,Accepted by ABA
Singaporean,JC,,78.75 + H3 distinction,,NTU,COMMUNICATION STUDIES,Accepted by ABA
Singaporean,JC,,90,,NTU,COMMUNICATION STUDIES,Accepted by direct entry/discovery day
Singaporean,JC,,85.5,,NTU,COMMUNICATION STUDIES WITH 2ND MAJOR IN GOVERNANCE AND INTERNATIONAL RELATIONS,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NTU,COMMUNICATION STUDIES WITH A SECOND MAJOR IN BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NTU,COMMUNICATION STUDIES WITH A SECOND MAJOR IN GOVERNANCE AND INTERNATIONAL RELATIONS,Accepted by direct entry/discovery day
Singaporean,JC,,83.75 RP + H3 Distinction,,NTU,COMMUNICATION STUDIES WITH A SECOND MAJOR IN GOVERNANCE AND INTERNATIONAL RELATIONS,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NTU,COMMUNICATION STUDIES WITH SECOND MAJOR IN BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,76.5,,NTU,COMPUTER ENGINEERING,Rejected
Singaporean,JC,,77.5,,NTU,COMPUTER ENGINEERING,Shortlisted for interview/written test but rejected
Singaporean,JC,,82.5,,NTU,COMPUTER ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NTU,COMPUTER ENGINEERING,Accepted by direct entry/discovery day
International,JC,,83.75,,NTU,COMPUTER ENGINEERING WITH A SECOND MAJOR IN DATA ANALYTICS,Rejected
Singaporean,JC,,82.125,,NTU,COMPUTER ENGINEERING WITH SECOND MAJOR IN DATA ANALYTICS,Accepted by direct entry/discovery day
Singaporean,Poly,3.79,,,NTU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
PR,Poly,3.92,,,NTU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NTU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,Poly,3.9,,,NTU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
PR,JC,,86.6,,NTU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,86.625,,NTU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NTU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NTU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NTU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
